,tweet,created_at,original_tweet,topic_value,topic
55231,Yu2borne bale 😍😍#UCLFinal,2018-05-27 20:30:03,"RT @isktweets: I love this picture ❤ 
#UCLfinal https://t.co/ArVTH3ZJ7N",0.11111194331896468,1.0
45638,Bale ❤ #UCLfinal,2018-05-27 20:10:52,,0.11111194331896468,1.0
55708,BALE IS ON FIRE! !😱😱😱😱 #UCLfinal #HalaMadrid,2018-05-27 20:30:35,RT @TrollFootball: Liverpool and Real Madrid arriving for the #UCLFinal https://t.co/YjD3udJxsN,0.11111194331896468,1.0
43105,Bale!!!!! #UCLfinal,2018-05-27 20:08:27,"RT @EParena: 💔

#UCLfinal https://t.co/hCwNSA0kRj",0.11111194331896468,1.0
44958,😱 Bale!! #UCLfinal,2018-05-27 20:10:08,"RT @LFCEspanoI: 🔴
Es lo más SUCIO que hemos visto en toda la historia de nuestro club, no juega al fútbol, confundió el rectángulo verde co…",0.11111194331896468,1.0
54559,WOOOOOOOOOOOOOOOOOOOO BALE! #UCLFinal #HalaMadrid,2018-05-27 20:29:16,"RT @SuperCazarre: Même scénario.. Bravo à Liverpool pour sa victoire en prolongations 1-0
 #UCLfinal https://t.co/RSZjY6Yo3p",0.11111194331896468,1.0
43117,Bale!!!!!!! #UCLfinal,2018-05-27 20:08:28,,0.11111194331896468,1.0
43119,Bale #UCLfinal,2018-05-27 20:08:28,RT @BleacherReport: Salah comes off in the #UCLFinal with a shoulder injury 😢 https://t.co/w0lE4WHT3A,0.11111194331896468,1.0
45639,BALE 👏 #UCLfinal 😍,2018-05-27 20:10:52,RT @TrollFootball: The #UCLFinal so far https://t.co/UtSqALA4Ia,0.11111194331896468,1.0
54574,Bale is on fire #UCLfinal,2018-05-27 20:29:18,RT @DavidLammy: Anyone know if the guy who jumped out of the stand when the Real goal got disallowed is ok? #ChampionsLeagueFinal2018 #UCLf…,0.11111194331896468,1.0
54406,Bale!!!!!!!! #ChampionsLeagueFinal #UCLfinal,2018-05-27 20:29:06,"RT @badgalmaddie_: You have to feel for Mohamed Salah &amp; Dani Carvajal - not something you’d like to see happen to any professional 😢😢😢

#UC…",0.11111194331896468,1.0
43128,Who invited Bale now? #UCLFinal,2018-05-27 20:08:29,RT @EASPORTSFIFA: The #UCLFinal ends early for Salah 😢 https://t.co/rz2sHf2qfT,0.11111194331896468,1.0
43130,Bale!!!!!! #UCLfinal,2018-05-27 20:08:30,RT @janemerrick23: Watching #UCLFinal with my seven year old daughter and she just said “I’ve never seen so many adult men cry.” Welcome to…,0.11111194331896468,1.0
43134,Bale!!!!! #uclfinal,2018-05-27 20:08:30,Offside Ronaldo &amp; Benzema #UCLfinal https://t.co/irydhjhsGL,0.11111194331896468,1.0
43138,Wowww Bale #UCLFinal,2018-05-27 20:08:30,"RT @TheSporTalk: The sight no Liverpool fan wants to see... 💔

#MoSalah #RMALIV #UCLFinal 
#ChampionsLeagueFinal #LFC https://t.co/PwMdB62K…",0.11111194331896468,1.0
