,tweet,created_at,original_tweet,topic_value,topic
41405,Mane is a goal.... It's a goal.... It's a goal. #TeamLiverpool #UCLFinal #RMALIV,2018-05-27 20:05:01,"Mo salah prayed before the game to have a good game and he's out even before half time, people who didn't pray are… https://t.co/jr126w7v60",0.11624748128199772,4.0
44294,WHAT. A. GOAL. #bale #UCLfinal,2018-05-27 20:09:31,RT @MapsMaponyane: I was looking forward to this final because of Mo Salah. Won't be any good with No Salah. #UCLfinal,0.11613100969620557,4.0
36543,Goal! #UCLFinal,2018-05-27 19:57:45,RT @ESPNFC: Heartbreak for Mohamed Salah. #UCLfinal https://t.co/Rc7muDpzPt,0.11613100969620557,4.0
45181,what a goal #UCLfinal 🔥🔥🔥,2018-05-27 20:10:22,"RT @ChampionsLeague: Another cruel blow, this time for Carvajal 😢

#UCLfinal https://t.co/gqvDrovwPm",0.11613100969620557,4.0
45175,🙀 what a goal that was #UCLfinal,2018-05-27 20:10:22,Is it weird that I want both teams to lose? #UCLFinal,0.11613100969620557,4.0
36414,GOAL!!! #HalaMadrid #UCLfinal,2018-05-27 19:57:35,,0.11613100969620557,4.0
36423,What a goal Benz...karius 🤣🤣🤣🤣🤣🤣 #UCLfinal #ChampionsLeagueFinal,2018-05-27 19:57:35,"RT @ChampionsLeague: A sad way for Salah's season to finish 😢

#UCLfinal https://t.co/6v2Y0MKNBe",0.11613100969620557,4.0
46841,#takeabow #unbelievable goal!!! #UCLfinal #RealMadridLiverpool,2018-05-27 20:12:20,,0.11613100969620557,4.0
36425,Get Mingolet in goal !! #UCLfinal,2018-05-27 19:57:35,"RT @armchairsports_: “Mr. Ramos, the money will be in your account tomorrow morning.” #UCLFinal https://t.co/G3CTJxDqbm",0.11613100969620557,4.0
46847,#HereToCreate at the #UCLFinal what a goal!,2018-05-27 20:12:20,"RT @AndreaPadiz: H.I.J.O.D.E.L.A.G.R.A.N.P.U.T.A 

#UCLfinal #ChampionsxESPN https://t.co/WUWZry7V6T",0.11613100969620557,4.0
36438,And it's a goal!!!!!!!!!! #UCLFinal #UCLFinal2018,2018-05-27 19:57:36,Sergio it turns out https://t.co/nVZBn45y4V,0.11613100969620557,4.0
36439,What a goal 🤣🤣🤣🤣🤣 #UCLfinal,2018-05-27 19:57:36,RT @JessicaLangton_: Watching #UCLFinal 🙌🔥🔥 https://t.co/mMnK84nPEr,0.11613100969620557,4.0
36444,Well that has to be the dumbest goal ever conceded. #UCLfinal,2018-05-27 19:57:37,Feeling a rahi hai Ronaldo would be hero again #UCLFinal,0.11613100969620557,4.0
36562,#UCLfinal LMAOOO what a goal 😂😂😂😂😂,2018-05-27 19:57:46,"RT @MattHibbert: Ramos 100% knew what he was doing there, absolute classic Ramos shithousery #UCLFinal",0.11613100969620557,4.0
36391,That's a dumb goal #UCLFinal,2018-05-27 19:57:33,"RT @ChampionsLeague: A sad way for Salah's season to finish 😢

#UCLfinal https://t.co/6v2Y0MKNBe",0.11613100969620557,4.0
