,N-gram,Liczność
1,watford end liverpool unbeaten run,38
2,still gon na win league,28
3,lose first premier league game,22
4,first premier league game season,22
5,end liverpool 's unbeaten run,18
6,watford 3-0 liverpool jurgen klopp,18
7,3-0 liverpool jurgen klopp 's,17
8,liverpool 's premier league unbeaten,17
9,'s premier league unbeaten run,17
10,premier league unbeaten run end,17
