,N-gram,Liczność
1,liverpool 's unbeaten run,85
2,gon na win league,62
3,end liverpool unbeaten run,55
4,watford 3 liverpool 0,49
5,watford end liverpool unbeaten,48
6,still gon na win,39
7,watford beat liverpool 3-0,36
8,arsenal fan celebrating liverpool,35
9,can not believe liverpool,33
10,still 22 point clear,30
