,tweet,created_at,original_tweet,topic_value,topic
63874,Karius is undoubtedly #ManOfTheMatch #MOTM #KTNChampsLeague 😂😂😂 #UCLfinal,2018-05-27 20:44:15,,0.13037105450215825,3.0
54690,Why does Karius exist? #UCLFinal,2018-05-27 20:29:25,RT @Tunnyking: This is exactly what Sergio Ramos did to Salah 😭😭😭 #UCLfinal https://t.co/wGQo8TCfL6,0.13037105450215825,3.0
54510,Karius is having a mare 🙈🙈🙈#UCLfinal,2018-05-27 20:29:13,"RT @BBST15: Salah 😢

#UCLfinal https://t.co/xmgjEgcykL",0.13037105450215825,3.0
56890,So does Karius. #UCLfinal,2018-05-27 20:32:04,RT @VanDijkLFC: Retweet if you hate Sergio Ramos. #LFC #UCLFinal https://t.co/Ic7oWrQpE1,0.13037105450215825,3.0
54591,#UCLfinal Karius MVP,2018-05-27 20:29:19,RT @HoyEnDeportes4: Detallazo de señorío de Ramos lesionando a Salah para que pueda ir a comer porque está en pleno Ramadán. #UCLfinal,0.13037105450215825,3.0
54640,#LOLerpool Shout out to Karius ❤ #UCLfinal,2018-05-27 20:29:22,,0.13037105450215825,3.0
36169,What has Karius done #UCLFinal,2018-05-27 19:57:14,RT @ProReso: This man had worked so hard to be here #UCLfinal 😭😭☹️☹️... Damn you Sergio Ramos for that Play😡 https://t.co/yDum0GB0HF,0.13037105450215825,3.0
56783,That's Karius for you village-class #UCLfinal,2018-05-27 20:31:56,"前半終了。サラーいるいないで随分変わるなぁ。レアルからしても相当の脅威だったってことだよね。
#UCL #UCLfinal #liverpool #realmadrid #uefa #CL決勝",0.13037105450215825,3.0
56778,GGGGGGOOOOOOOAAAAALLLLLLLL!! Karius is shite#UCLFinal,2018-05-27 20:31:55,"RT @dualipanoticias: Dua Lipa and Sean Paul doing ""No Lie"" @ Champion League Opening Ceremony #ChampionsLeagueFinal #UCLFinal https://t.co/…",0.13037105450215825,3.0
56724,Karius again shockerrr #UCLFinal,2018-05-27 20:31:50,RT @gerhart__b: The face you make when you know Sergio Ramos is going to injure Liverpool's best player as part of the game plan. #UCLfinal…,0.13037105450215825,3.0
56681,Karius be all... #UCLfinal,2018-05-27 20:31:46,RT @ESPNFC: Cristiano Ronaldo knows the pain of being forced off injured in a final. #UCLFinal https://t.co/6kyR79JcUx,0.13037105450215825,3.0
61057,This is Karius #UCLfinal,2018-05-27 20:39:07,@LFC is @LFC and never a player #LIVRMA #UCLfinal,0.13037105450215825,3.0
54692,Gifs were made for Karius #UCLfinal,2018-05-27 20:29:25,"次はラモスが潰される番や！
思っ切り削ったれ
#CL決勝
#UCLfinal 
#日大アメフト
#司会者、お前だれやねん",0.13037105450215825,3.0
56661,Kari-us just Karried-us(Liverpool) out... #UCLfinal #UCLFinal2018 .,2018-05-27 20:31:45,RT @VanDijkLFC: Retweet if you hate Sergio Ramos. #LFC #UCLFinal https://t.co/Ic7oWrQpE1,0.13037105450215825,3.0
36124,Karius for President 🤣😅😂😃😂😗😁😄😁😄 #UCLfinal,2018-05-27 19:57:11,"RT @aneen__b: ليفربول ❌  ريال مدريد 

#UCLfinal

الشوط الثاني ↯⚽❂: #ليفربول_ريال_مدريدُ  ✔

روابط البث   ↡↡↡↡↡

رابط ايفون (  https://t.co/…",0.13037105450215825,3.0
