,tweet,created_at,original_tweet,topic_value,topic
40266,This Champions League Final is nuts! #UCLfinal,2018-05-27 20:02:42,,0.13431210717297742,5.0
8589,Champions League Final: When And Where #UCLFinal #LiverpoolVsRealMadrid #realmadrid #LFC,2018-05-27 19:02:51,👽 #UCLfinal,0.13431210717297742,5.0
981,Champions league finals #UCLfinal,2018-05-27 18:47:20,"RT @RM_Arabic4: بداية المباراة | دوري ابطال اوروبا 
 ريال مدريد 🆚 ليفربول  
#UCLfinal #Kiev2018",0.13431210717297742,5.0
8849,Now for Champions League final #UCLfinal,2018-05-27 19:03:25,Maç muhteşem başladı. #UCLfinal,0.13431210717297742,5.0
21076,Too much cry cry for this Champions League Final ooh! #UCLfinal,2018-05-27 19:22:13,ผ่านไป 20 นาที ยัง 0-0 #lfcthai #uclfinal https://t.co/JrevC9vyCA,0.13431210717297742,5.0
37398,What a yawn feist of a champions league final #UCLfinal,2018-05-27 19:58:50,Champions league got Twitter down #UCLfinal,0.13431210717297742,5.0
4913,Champions league final with the bros! #UCLFinal,2018-05-27 18:54:46,"RT @4ajjelnew: تــآآبـع لايــــف بث مباشر مباراة 

#ليفُربول_ريال_مدرِيد 

الشوط الاول

جوال+يوتيوب

الرابط&gt;&gt; https://t.co/xM5kGl3U40  
؟؟…",0.13431210717297742,5.0
21454,Crying Champions league final #UCLFinal,2018-05-27 19:22:42,"RT @LFC: The Reds.

#UCLfinal https://t.co/fFITznl3RR",0.13431210717297742,5.0
44154,Doing that in champions league final... outrageous!#UCLfinal,2018-05-27 20:09:23,,0.13431210717297742,5.0
3308,Popcorn and Champions League Final. 😀⚽ #UCLFinal,2018-05-27 18:51:34,,0.13431210717297742,5.0
3661,Our 3D Bitmoji with is live for the Champions League Final. ⚽️ #UCLfinal,2018-05-27 18:52:20,#UCLfinal @LFC https://t.co/ziUbf8nI5k,0.13042978133163327,5.0
20428,Champions League final .... Go Real!!! #UCLfinal #RMAVLIV,2018-05-27 19:21:20,RT @boohooMAN: When you know your days are numbered and some bloke from Egypt is banging then in for fun 👀 #UCLfinal https://t.co/KqgGuZPNZq,0.12731838694514142,5.0
1940,Champions League Final! Liverpool! #UCLFinal,2018-05-27 18:48:57,Alandayız. #UCLfinal,0.12498439819348928,5.0
21961,Final Champions League #RealMadrid 🇪🇸 vs #Liverpool 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #UCLFinal,2018-05-27 19:23:22,RT @builtzara: I'M IN TEARS RIGHT NOW I HAVE NO WORDS TO EXPLAIN HOW MUCH HAPPY THIS WOMAN MAKES ME. I LOVE YOU SO MUCH DUA AND I'M SO PROU…,0.12474194730200781,5.0
60958,Kloop bottled Europa final And now Champions league final #UCLfinal,2018-05-27 20:38:55,"RT @ChampionsLeague: Another cruel blow, this time for Carvajal 😢

#UCLfinal https://t.co/gqvDrovwPm",0.12463879168162667,5.0
