,tweet,created_at,original_tweet,topic_value,topic
59893,Liverpool 1-3 Real Madrid #RealmadridvsLiverpool #UCLfinal,2018-05-27 20:37:12,"RT @MaddockMirror: Honestly, that was a disgrace from Sergio Ramos. He's ended @MoSalah's night, and possibly his World Cup with a cynical,…",0.08839488461855553,0.0
1149,Liverpool will be chasing Real Madrid shadows. #UCLFinal #HalaMadrid,2018-05-27 18:47:36,"RT @LFC: This is it... the @ChampionsLeague final!

We're underway in Kiev...

🔴 ALLEZ 🔴
🔴 ALLEZ 🔴
🔴 ALLEZ 🔴

#UCLfinal https://t.co/Y5dY9A…",0.08839488461855553,0.0
10177,⏰22' Real Madrid 0⃣0⃣ Liverpool | #UCLfinal,2018-05-27 19:06:44,"Real Madrid vs Liverpool live score #LFC (and video online #live stream)
Click Link&gt;&gt;&gt;https://t.co/ZelvqDBSzx… https://t.co/KOBNFVUzQK",0.08839488461855553,0.0
10122,Liverpool o Real Madrid ? #UCLFinal,2018-05-27 19:06:36,Forza Liverpool 😂❤️ #UCLFinal #UCL2018 #RealMadridLiverpool,0.08839488461855553,0.0
977,⏰1' Real Madrid 0⃣0⃣ Liverpool | #UCLfinal,2018-05-27 18:47:20,"RT @PirateMulwana: People in #Uganda watching the #UCLfinal on UBC with high hopes of spotting their job application results as well, as ea…",0.08839488461855553,0.0
2517,Real Madrid or Liverpool? #UCLfinal #ChampionsLeagueFinal2018,2018-05-27 18:50:07,"RT @SuperSportTV: The #UCLfinal between Real Madrid &amp; Liverpool is underway!

LIVE on SS3 ⚽ https://t.co/Cl0lL77bsw",0.08839488461855553,0.0
4851,Real Madrid 1-2 Liverpool #UCLfinal,2018-05-27 18:54:39,"RT @LFC: 🔴 COME ON YOU REDS! 🔴

#UCLfinal https://t.co/JgOT1J52ws",0.08839488461855553,0.0
14217,Real Madrid or Liverpool #UCLfinal,2018-05-27 19:13:46,RT @Nsports24: #UCLfinal https://t.co/pMi4VbjaJG,0.08839488461855553,0.0
14234,🇪🇸 Real Madrid o Liverpool 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #UCLFinal,2018-05-27 19:13:48,"RT @LFC: Anfield is rocking! Turn that sound up 🔊.

#Believers #UCLfinal https://t.co/Do2C8csp0m",0.08839488461855553,0.0
6381,Real Madrid is stressing me out...the gaps at the back❌❌😢 Liverpool applying pressure😢😢😢#UCLfinal,2018-05-27 18:57:52,RT @TWEETORACLE: DUA LIPA's performance at the #UCLFinal opening ceremony. https://t.co/uwWD862gVB,0.08839488461855553,0.0
8644,⏰18' Real Madrid 0⃣0⃣ Liverpool | #UCLfinal,2018-05-27 19:02:57,"ho aspettato con ansia l'esibizione di Dua Lipa di stasera e appena stava per cantare han mandato la pubblicità, ME… https://t.co/8wxmu0GLPl",0.08839488461855553,0.0
3639,Liverpool or Real Madrid?,2018-05-27 18:52:18,"RT @ChampionsLeague: This is it.

#UCLfinal https://t.co/6IRXsCE0Il",0.08839488461855553,0.0
17517,⏰30' Real Madrid 0⃣0⃣ Liverpool | #UCLfinal,2018-05-27 19:17:39,me va a dar un ataque cardiaco con este partido ya no puedo con la ansiedad #UCLfinal,0.08839488461855553,0.0
40037,CHUPA REAL MADRID ! VAI LIVERPOOL #UCLFINAL #YWNWA,2018-05-27 20:02:21,"RT @ChampionsLeague: A sad way for Salah's season to finish 😢

#UCLfinal https://t.co/6v2Y0MKNBe",0.08839488461855553,0.0
41664,We back again Real Madrid 01-01 Liverpool #ShareTheDrama #heineken #UCLfinal 🕺🏿👑,2018-05-27 20:05:34,Nacho side netting😲 #UCLFinal,0.08839488461855553,0.0
