,N-gram,Liczność
1,champion league final,510
2,real madrid v,387
3,madrid v liverpool,386
4,never walk alone,274
5,v liverpool live,165
6,madrid 0-0 liverpool,160
7,real madrid 0-0,158
8,goal gareth bale,143
9,get well soon,141
10,real madrid win,135
