,tweet,created_at,original_tweet,topic_value,topic
30170,From MO Salah it just became No Salah #LiverpoolFC #uclfinal #ChampionsLeague2018 #bbcfootball,2018-05-27 19:43:42,RT @MikRonGeo: “MY PITCH LIL BITCH” #UCLFinal https://t.co/mwXEgJV1fw,0.10060750529112653,2.0
15052,Noooo not Salah! #UCLfinal,2018-05-27 19:15:04,Ok @LFC is hitting @realmadrid as a punching bag #UCLFinal,0.09456232902448318,2.0
15319,PLEASE NOT SALAH NOT HIIIIIIIIM 😭😭😭 #UCLfinal,2018-05-27 19:15:23,RT @tsf_podcast: Liverpool fans in full voice already. #UCLFinal #tsfpAtTheGames https://t.co/9U10omK4gz,0.09456232902448318,2.0
15570,Noooooo not Salah 😐 #UCLfinal,2018-05-27 19:15:40,¡Impresionante lo de @NavasKeylor hasta el momento! 🙌 #UCLfinal https://t.co/yHYxpvhVnb,0.09456232902448318,2.0
20410,Welling up for Salah 😢⚽️ #UCLfinal,2018-05-27 19:21:18,Varane attacking Van Dyke during corner kick is a wrong option by Zizou. Van Dyke vs Ramos is the game for me. #UCLfinal,0.09456232902448318,2.0
13458,Salah is down plz bb get back up 😥 #UCLfinal,2018-05-27 19:12:43,Also: anyone hating on Dua Lipa and Sean Paul but enjoyed the Black Eyed Peas at Cardiff should not be watching this match #UCLFinal,0.09456232902448318,2.0
20576,Why Salah? #UCLfinal,2018-05-27 19:21:32,liverpool wanasumbua. #UCLfinal,0.09456232902448318,2.0
15350,It's over for you Salah ! #mosalah #UCLfinal,2018-05-27 19:15:25,RT @FoxSportsBrasil: O encontro mais esperado! #UCLfinal https://t.co/5W99NSmA63,0.09456232902448318,2.0
15334,DO IT FOR SALAH #UCLfinal,2018-05-27 19:15:24,"¡Dispara Cristiano alto! ¡La primera del Bicho!
Min 16. RMA 0 - 0 LIV
#TJAPorlaTréZima🏆 #UCLfinal",0.09456232902448318,2.0
26345,This is where they conspired against Salah! 🙆‍♂️ #UCLfinal,2018-05-27 19:32:48,"Sergio Fucking Ramos
 
Hate that guy more than I hate Hitler. 
#UCLfinal",0.09456232902448318,2.0
30172,Why Salah ... why?,2018-05-27 19:43:43,RT @BleacherReport: Salah comes off in the #UCLFinal with a shoulder injury 😢 https://t.co/w0lE4WHT3A,0.09456232902448318,2.0
30996,Innocent salah doesn’t have a clue 😭😭,2018-05-27 19:46:04,"Sería orden del calvo?, para que lesionaran al egipcio, merece carcel @SergioRamos dañando el espectáculo #LaChampionsxRCN #UCLFinal",0.09456232902448318,2.0
13643,NOT SALAH. PLEASE. #UCLfinal,2018-05-27 19:12:57,"RT @Dan_Williams_98: 14 minutes into UCL and chill and she gives you this look 

#UCLfinal https://t.co/Uoh6xE0bt3",0.09456232902448318,2.0
22538,It just had to be Salah 😭😭😭😭,2018-05-27 19:24:13,"@LFC seems to be threatening!! 
Anyone who has seen @Cristiano on the pitch!? A big reward awaits
#UCLfinal 
#UEFAFinals",0.09456232902448318,2.0
13813,#UCLFinal when salah was down,2018-05-27 19:13:10,"RT @Leo_Chabert: Real Madrid vs Liverpool

Watch on Football ⚽️ Stream

Share and Follow for more

🇪🇸 #RMALIV 🇬🇧 #Kiev #UCLfinal https://t.…",0.09456232902448318,2.0
